name,w,h
panel,2,2,5,2,2,2,2,5,5,5,2,5,2,2,5,2,2,2
window,4,2,9,2,4,2,4,4,9,4,4,4,4,4,9,4,4,4
window caption,7,5,3,5,7,5,4,9,9,9,4,9,2,2,13,2,2,2
button,4,4,3,4,4,4,2,13,7,13,2,13,4,4,3,4,4,4
textbox,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
checkbox,2,2,9,2,2,2,2,9,9,9,2,9,2,2,9,2,2,2
scrollbar,4,4,7,4,4,4,2,7,11,7,2,7,4,4,7,4,4,4
scrollbar button,4,4,7,4,4,4,2,7,11,7,2,7,4,4,7,4,4,4
scrollbar background,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
label,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
listbox,2,2,5,2,2,2,2,5,5,5,2,5,2,2,5,2,2,2
combobox,4,4,3,4,1,4,2,13,5,13,1,13,4,4,3,4,1,4
combobox button,1,4,3,4,4,4,1,13,5,13,2,13,1,4,3,4,4,4
combobox drop,2,2,5,2,2,2,2,5,5,5,2,5,2,2,5,2,2,2
progressbar,2,3,5,3,2,3,3,3,3,3,3,3,2,3,5,3,2,3
slider,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1
spinner,1,1,1,1,1,1,1,9,9,9,1,9,1,1,1,1,1,1
tabber,7,5,3,5,7,5,4,10,9,10,4,10,2,1,13,1,2,1
mltextbox,2,2,5,2,2,2,2,5,5,5,2,5,2,2,5,2,2,2
mclistbox,2,2,5,2,2,2,2,5,5,5,2,5,2,2,5,2,2,2
mclistbox button,4,4,3,4,4,4,2,13,7,13,2,13,4,4,3,4,4,4
